"Name","Full Name","Visibility","Language","Description","Stars","Forks","Size (KB)","Last Updated","Clone URL","HTML URL","User Permission","Role Name"
"sample1","Demo-workshop-org/sample1","private","Java","","0","0","26","2025-05-25T17:03:41Z","https://github.com/Demo-workshop-org/sample1.git","https://github.com/Demo-workshop-org/sample1","read","Read (GitHub App)"
"task-2","Demo-workshop-org/task-2","private","HTML","","0","0","34","2025-05-14T13:35:45Z","https://github.com/Demo-workshop-org/task-2.git","https://github.com/Demo-workshop-org/task-2","read","Read (GitHub App)"
"special-octo-train","Demo-workshop-org/special-octo-train","private","C#","","0","0","805","2024-01-03T12:34:44Z","https://github.com/Demo-workshop-org/special-octo-train.git","https://github.com/Demo-workshop-org/special-octo-train","read","Read (GitHub App)"
"Free-repository","Demo-workshop-org/Free-repository","private","","","0","0","2","2023-11-22T06:04:45Z","https://github.com/Demo-workshop-org/Free-repository.git","https://github.com/Demo-workshop-org/Free-repository","read","Read (GitHub App)"
"spacegame-19-07","Demo-workshop-org/spacegame-19-07","private","C#","","0","0","603","2024-01-03T12:34:42Z","https://github.com/Demo-workshop-org/spacegame-19-07.git","https://github.com/Demo-workshop-org/spacegame-19-07","read","Read (GitHub App)"
"action-example","Demo-workshop-org/action-example","private","","","0","0","203","2025-05-04T11:46:30Z","https://github.com/Demo-workshop-org/action-example.git","https://github.com/Demo-workshop-org/action-example","read","Read (GitHub App)"
"package","Demo-workshop-org/package","public","Ruby","","0","0","12","2024-08-02T09:55:13Z","https://github.com/Demo-workshop-org/package.git","https://github.com/Demo-workshop-org/package","read","Read (GitHub App)"
".github","Demo-workshop-org/.github","public","","","0","0","5","2024-01-12T09:17:01Z","https://github.com/Demo-workshop-org/.github.git","https://github.com/Demo-workshop-org/.github","read","Read (GitHub App)"
"tourOfHeros-AngularApp","Demo-workshop-org/tourOfHeros-AngularApp","private","TypeScript","","0","0","83","2024-12-17T10:25:44Z","https://github.com/Demo-workshop-org/tourOfHeros-AngularApp.git","https://github.com/Demo-workshop-org/tourOfHeros-AngularApp","read","Read (GitHub App)"
"docker-example","Demo-workshop-org/docker-example","private","Dockerfile","","0","0","18","2024-08-02T09:54:48Z","https://github.com/Demo-workshop-org/docker-example.git","https://github.com/Demo-workshop-org/docker-example","read","Read (GitHub App)"
"reusable-repo-1","Demo-workshop-org/reusable-repo-1","private","","","0","0","10","2023-11-02T12:46:47Z","https://github.com/Demo-workshop-org/reusable-repo-1.git","https://github.com/Demo-workshop-org/reusable-repo-1","read","Read (GitHub App)"
"reusable-repo-2","Demo-workshop-org/reusable-repo-2","private","","","0","0","3","2023-11-02T12:47:14Z","https://github.com/Demo-workshop-org/reusable-repo-2.git","https://github.com/Demo-workshop-org/reusable-repo-2","read","Read (GitHub App)"
"action-example-template","Demo-workshop-org/action-example-template","private","","","0","0","3","2023-11-05T06:53:42Z","https://github.com/Demo-workshop-org/action-example-template.git","https://github.com/Demo-workshop-org/action-example-template","read","Read (GitHub App)"
